,RunId,iteration,Step,k,l,m,r_s,r_c,cc_s,cc_c,fc_s,tom_customs,tom_smuggler,learning_speed1,learning_speed2,customs points,smuggler points,customs points averaged,smuggler points averaged,successful checks,successful smuggles,total checks,total smuggles,caught packages,smuggled packages
0,0,0,-1,2,2,5,2,2,6,6,2,0,0,0.4,0.2,-2028,-608,-6.2,-2.4,143,223,575,366,711,1114
1,1,0,-1,2,2,5,2,2,6,6,2,0,1,0.4,0.2,-2534,-230,-7.0,0.0,106,260,599,366,530,1295
2,2,0,-1,2,2,5,2,2,6,6,2,0,2,0.4,0.2,-1948,-482,-5.0,-1.0,149,216,573,365,745,1080
3,3,0,-1,2,2,5,2,2,6,6,2,1,0,0.4,0.2,-1356,-920,-4.0,-2.2,198,167,556,365,990,835
4,4,0,-1,2,2,5,2,2,6,6,2,1,1,0.4,0.2,-1786,-730,-0.8,-4.6,158,207,561,365,790,1035
5,5,0,-1,2,2,5,2,2,6,6,2,1,2,0.4,0.2,-2262,-210,-8.2,0.4,120,245,577,365,600,1225
6,6,0,-1,2,2,5,2,2,6,6,2,2,0,0.4,0.2,-1314,-814,-6.0,0.8,189,176,534,365,945,880
7,7,0,-1,2,2,5,2,2,6,6,2,2,1,0.4,0.2,-1284,-998,-1.8,-3.6,189,176,529,365,945,880
8,8,0,-1,2,2,5,2,2,6,6,2,2,2,0.4,0.2,-2202,-234,-7.2,0.2,126,240,577,366,630,1195
9,9,0,-1,2,3,5,2,2,6,6,2,0,0,0.4,0.2,-4636,-442,-11.4,-1.2,124,244,975,368,607,1218
10,10,0,-1,2,3,5,2,2,6,6,2,0,1,0.4,0.2,-5828,-290,-19.4,0.4,92,274,1124,366,458,1367
11,11,0,-1,2,3,5,2,2,6,6,2,0,2,0.4,0.2,-5014,-314,-15.4,1.0,116,250,1029,366,580,1245
12,12,0,-1,2,3,5,2,2,6,6,2,1,0,0.4,0.2,-4304,-582,-15.6,1.0,151,214,969,365,755,1070
13,13,0,-1,2,3,5,2,2,6,6,2,1,1,0.4,0.2,-4136,-754,-16.6,-0.6,136,230,916,366,680,1145
14,14,0,-1,2,3,5,2,2,6,6,2,1,2,0.4,0.2,-5618,-112,-20.4,2.4,100,265,1103,365,500,1325
15,15,0,-1,2,3,5,2,2,6,6,2,2,0,0.4,0.2,-5152,64,-18.4,2.0,113,252,1047,365,565,1260
16,16,0,-1,2,3,5,2,2,6,6,2,2,1,0.4,0.2,-3956,-1180,-6.2,-4.6,185,181,966,366,920,905
17,17,0,-1,2,3,5,2,2,6,6,2,2,2,0.4,0.2,-5070,-240,-15.0,-0.8,114,254,1031,368,558,1267
18,18,0,-1,2,4,5,2,2,6,6,2,0,0,0.4,0.2,-7998,-330,-25.8,-0.8,112,255,1518,367,555,1270
19,19,0,-1,2,4,5,2,2,6,6,2,0,1,0.4,0.2,-10238,-194,-27.4,-0.8,73,294,1828,367,365,1460
20,20,0,-1,2,4,5,2,2,6,6,2,0,2,0.4,0.2,-8356,-216,-21.2,-1.6,90,279,1538,369,436,1389
21,21,0,-1,2,4,5,2,2,6,6,2,1,0,0.4,0.2,-6582,-168,-20.6,-2.4,113,254,1283,367,558,1267
22,22,0,-1,2,4,5,2,2,6,6,2,1,1,0.4,0.2,-8132,-778,-26.6,-2.8,130,236,1572,366,650,1175
23,23,0,-1,2,4,5,2,2,6,6,2,1,2,0.4,0.2,-9672,-276,-29.6,-2.2,93,273,1767,366,465,1360
24,24,0,-1,2,4,5,2,2,6,6,2,2,0,0.4,0.2,-9736,-234,-20.2,-2.4,124,243,1829,367,619,1206
25,25,0,-1,2,4,5,2,2,6,6,2,2,1,0.4,0.2,-8416,-1012,-16.8,-4.6,155,212,1661,367,775,1050
26,26,0,-1,2,4,5,2,2,6,6,2,2,2,0.4,0.2,-9422,-206,-31.2,-0.6,95,271,1728,366,473,1352
0,0,0,-1,3,2,5,2,2,6,6,2,0,0,0.4,0.2,-4372,-762,-9.2,-0.6,158,207,992,365,790,1035
1,1,0,-1,3,2,5,2,2,6,6,2,0,1,0.4,0.2,-5152,-506,-13.4,-2.6,110,255,1042,365,550,1275
2,2,0,-1,3,2,5,2,2,6,6,2,0,2,0.4,0.2,-4904,-430,-15.2,-1.2,127,239,1029,366,635,1190
3,3,0,-1,3,2,5,2,2,6,6,2,1,0,0.4,0.2,-4274,-470,-5.0,-5.4,157,209,974,366,785,1040
4,4,0,-1,3,2,5,2,2,6,6,2,1,1,0.4,0.2,-3892,-1104,-10.0,-3.4,173,192,937,365,865,960
5,5,0,-1,3,2,5,2,2,6,6,2,1,2,0.4,0.2,-4658,-422,-15.0,-0.6,127,238,988,365,635,1190
6,6,0,-1,3,2,5,2,2,6,6,2,2,0,0.4,0.2,-5214,268,-14.4,1.0,111,254,1054,365,555,1270
7,7,0,-1,3,2,5,2,2,6,6,2,2,1,0.4,0.2,-3718,-1142,-5.6,-5.4,179,187,918,366,895,930
8,8,0,-1,3,2,5,2,2,6,6,2,2,2,0.4,0.2,-4528,-450,-16.0,0.6,131,234,973,365,655,1170
